"hospital","total_bill_amount"
"Guerra Obrien and Bentley,","45913.15"
"Robbins-Andrews","45912.01"
"Myers-Crawford","45910.54"
"Smith Matthews Williams, and","45909.76"
"and Campos Grimes Taylor,","45908.80"
"Jordan-Davis","45908.45"
"Dyer-Vincent","45908.06"
"Ewing-Singleton","45904.65"
"Archer and Meyer, Kline","45904.39"
"Davis, Eaton Williams and","45903.55"
"Fritz Henderson Stanton, and","45902.71"
"Diaz-Suarez","45901.92"
"Riley-Nolan","45900.76"
"and Frey Walker, Richardson","45900.17"
"Maddox-Beasley","45897.77"
"Schneider Ltd","45896.45"
"Watson-Diaz","45892.39"
"and Howard, Mitchell Perez","45892.13"
"PLC Patterson","45889.61"
"and Lawrence, Williams Thomas","45888.70"
"Grant-Espinoza","45887.77"
"Short-Brown","45886.08"
"Inc Franco","45886.04"
"Inc Sims","45885.98"
"Ortega Richards and Carr,","45883.64"
"Smith Peck, Tapia and","45883.58"
"Daniels and Williams Novak,","45883.49"
"Edwards-Ponce","45883.10"
"Davis-Olson","45882.07"
"Franklin LLC","45881.85"
"Robles Ltd","45881.26"
"Perez-Flores","45881.00"
"Evans Hodges and Terry,","45879.43"
"Rogers-Arnold","45879.36"
"and Anderson Donaldson Aguilar,","45877.55"
"Lopez-Stewart","45876.96"
"Hawkins-James","45875.92"
"Martinez, and Russell Hill","45875.91"
"Thomas Sons and","45875.51"
"Kelly-Richardson","45874.51"
"Cook-Neal","45873.53"
"Nelson and Coleman Adams,","45872.86"
"Jones and Shah Stewart,","45872.60"
"Howard and Simpson, Castillo","45870.56"
"Terrell Inc","45869.85"
"Lam Rosario, and Garcia","45867.12"
"French-Summers","45865.92"
"Haney Inc","45864.87"
"and Jones Davis Newton,","45864.38"
"Reeves Group","45863.58"
"Lopez-Russell","45863.54"
"Edwards and Thompson Reyes,","45861.70"
"Miller-Yang","45861.48"
"James-Robinson","45859.21"
"Cain-Miller","45858.97"
"Murray, Diaz Jenkins and","45858.19"
"Ball and Potter, Dickerson","45857.94"
"Burns Mckay and Lawson,","45856.73"
"Keller-Ford","45856.59"
"Baxter-Taylor","45854.96"
"Sanders and Kerr, Larsen","45854.57"
"Hammond and Kelley Williams,","45854.44"
"Guerra-Wheeler","45850.50"
"PLC Hancock","45850.05"
"Brooks Aguilar and Luna,","45849.70"
"Owens Ltd","45847.27"
"and Nichols, Carlson Bridges","45844.83"
"Burton-Cooper","45844.38"
"Skinner, Rice Donovan and","45842.07"
"Group Chan","45840.80"
"Hudson and Martin Vasquez,","45840.42"
"Phelps-Scott","45838.50"
"Oliver-Watts","45836.75"
"Smith-Salinas","45833.17"
"LLC Williamson","45830.97"
"Walker-Schneider","45830.43"
"Hernandez, Rich and Young","45828.68"
"Jones-Scott","45825.71"
"Ramos-Hunt","45825.69"
"and Burns, Moore Hopkins","45823.34"
"Watkins-White","45822.31"
"Smith-Stewart","45821.27"
"Hendrix, Salazar and Martin","45821.25"
"Powell Robinson and Valdez,","45820.46"
"Gomez-Dixon","45818.17"
"Knox, Smith and Donaldson","45816.91"
"Tyler, Martin and Serrano","45816.33"
"Duke-Rubio","45808.70"
"Jimenez-White","45807.73"
"and Wallace Rodriguez, Jones","45806.21"
"Lewis-Gallegos","45805.10"
"Norton Ltd","45804.68"
"Lawson, King and Holland","45804.53"
"and Blevins Reed, Mendoza","45802.56"
"Mueller Peterson, Johnson and","45802.43"
"Ford-Harris","45802.07"
"Jackson, Bryant Gallagher and","45801.89"
"Smith-Mitchell","45801.71"
"Brown-Hawkins","45801.53"
"Brown Jones, and Smith","45801.00"
"Davis-Benton","45799.86"
"Bowers, and Donaldson Massey","45799.20"
"Dawson-Mendoza","45797.24"
"Singh, Cook Meyers and","45797.22"
"Moon-Johnson","45796.06"
"Hill-Rivera","45793.91"
"Johnson and Shannon Hamilton,","45792.95"
"Gilbert Group","45790.74"
"Koch-Morgan","45788.64"
"Smith-Cortez","45787.89"
"Wise, Black Watson and","45782.84"
"Yates, and Sanchez Martinez","45780.53"
"Powers and Bush, Miller","45779.58"
"Fisher Bradley Price, and","45779.51"
"Gonzalez-Keith","45777.44"
"and Yoder Edwards Williams,","45776.58"
"Dickerson-Foster","45776.48"
"Lin-Alexander","45775.20"
"Harvey-Cook","45773.95"
"Lambert, and Barry Jones","45772.85"
"Scott Campos, and Harris","45770.72"
"Garrison-Bruce","45769.69"
"Schroeder Group","45769.29"
"Solis LLC","45768.75"
"Holden-Hubbard","45767.59"
"Barnes, and Wilson Golden","45767.38"
"Berry-Nguyen","45767.18"
"Garcia-Bush","45764.88"
"Young-White","45763.99"
"Christensen and Becker Alvarez,","45760.91"
"PLC Proctor","45760.42"
"Schmidt-Bautista","45758.70"
"Payne Walker Cochran, and","45756.52"
"and Hall Silva, Moore","45756.02"
"Higgins Thomas, and Esparza","45755.49"
"George Henry Kelly, and","45755.45"
"and Jackson Brown Green,","45753.53"
"Rodriguez-Long","45752.52"
"Erickson-Johnson","45752.21"
"Jones-Graham","45747.93"
"Mcbride Sons and","45744.16"
"Smith-Stafford","45741.29"
"Group Hickman","45740.63"
"Clark-Everett","45739.36"
"Browning LLC","45739.20"
"Day-Ponce","45736.43"
"LLC Houston","45729.39"
"Edwards-Campos","45728.12"
"Beltran, and Marsh Harris","45727.85"
"Sullivan-Cooley","45727.04"
"Fisher-Fitzgerald","45727.03"
"Byrd, Dominguez Marquez and","45726.38"
"Ruiz-Doyle","45725.86"
"Baker-Hernandez","45725.16"
"Gilmore-Richard","45722.15"
"Anderson-Davis","45720.24"
"Avila, Smith and Meyer","45717.44"
"Bentley Inc","45715.47"
"Jenkins and Miles Kirby,","45714.86"
"Alexander-Sanchez","45713.64"
"Rodriguez-White","45710.91"
"Hinton-Moore","45709.41"
"Vaughn-Reed","45707.88"
"and Wilkerson, Rogers Rodriguez","45704.52"
"and Gutierrez Chambers Johnson,","45703.87"
"Sharp-Dominguez","45702.33"
"Kirk Group","45701.70"
"and Brown, Vazquez White","45700.81"
"Rangel and Santos, Wood","45699.90"
"Newton, Le and Hill","45699.55"
"Fernandez-Mahoney","45697.78"
"Richardson-Powell","45692.90"
"Rocha Inc","45690.96"
"Joseph-Rhodes","45690.02"
"Branch-Lara","45688.76"
"Chapman Harmon and Mcgee,","45687.78"
"Wolfe-Dillon","45686.00"
"Miller, and Brown Bryant","45685.89"
"Mendez-Walton","45684.51"
"Miller-Rojas","45684.51"
"Johnson, and Bell Dickerson","45684.03"
"Taylor-Vargas","45681.74"
"Kelly-Brock","45677.84"
"Jones Conley and Chapman,","45676.25"
"Schmidt-Ford","45675.18"
"Lopez-Simmons","45673.75"
"Gonzales-Wallace","45672.48"
"Harrison and Carrillo Herman,","45671.80"
"Harper Pope, Clark and","45668.84"
"and Clark, Silva Patterson","45666.52"
"Scott-Moore","45665.85"
"Moore, Miller and Rodriguez","45664.03"
"Joseph PLC","45663.84"
"Jones-Garza","45663.04"
"Williams and Burns Bradford,","45662.99"
"Benitez-Rodriguez","45662.81"
"Calhoun-Blake","45660.65"
"Lopez Johnson, and Anderson","45660.51"
"Williams-Krueger","45660.26"
"Perez and Roach Ramos,","45659.32"
"Group Gilmore","45659.10"
"Boyd, May and King","45659.07"
"Gonzales-Bruce","45658.75"
"Dudley-Garcia","45658.32"
"and Hernandez Wiggins, Miller","45658.06"
"Washington and Archer, Wilson","45657.04"
"Clark-Murray","45654.99"
"Weaver-Krueger","45653.86"
"Mason-Jones","45653.19"
"LLC Sims","45652.74"
"Palmer Estrada Mendez, and","45651.14"
"Jones and Barron Mcpherson,","45650.85"
"Martinez, Weaver Sullivan and","45645.52"
"Mitchell-Hicks","45644.75"
"Pearson, Vargas Griffin and","45644.30"
"Levine-Cook","45643.93"
"Price and Anderson, Fitzpatrick","45642.55"
"Murphy-Jones","45641.62"
"Kelly-Mitchell","45641.51"
"Bell-Harper","45641.09"
"Hart Holt, and Brock","45641.09"
"Stuart-Wallace","45641.09"
"and Berg Molina Dennis,","45637.28"
"and Wright, Jones Sanders","45637.12"
"Jordan, Espinoza and Fitzpatrick","45636.87"
"Hunt-Ballard","45636.67"
"and Castillo Chavez, Hayden","45636.33"
"Martinez-Matthews","45634.65"
"Walker Allen and Grant,","45632.45"
"Holland Lopez and Baker,","45627.09"
"Anthony-Nelson","45625.88"
"Wilcox Garcia Coleman, and","45625.59"
"Ltd Pierce","45624.32"
"Smith Jones Taylor, and","45623.71"
"Stone-Miller","45622.94"
"Ramirez and Snyder Carrillo,","45621.72"
"and Payne Sanford, Sanchez","45621.68"
"Bray, Wilson Alvarez and","45620.19"
"and Johnson, Davis Middleton","45618.37"
"Miles Berry, Gutierrez and","45618.06"
"Johnson Livingston Kirby, and","45617.21"
"Werner, Freeman Poole and","45612.47"
"Byrd-Miller","45610.71"
"Mclaughlin-Lawrence","45609.27"
"and Burke Sons","45608.21"
"Bell-Davis","45605.34"
"Kent Joyce Villarreal, and","45604.96"
"Graham, Brown and Booker","45604.66"
"Lewis-Byrd","45604.32"
"and Bowman, Brown White","45604.06"
"Wall and Sons","45603.94"
"Oliver-Williams","45603.35"
"Lowe-Wright","45601.69"
"Richardson-Bowman","45599.55"
"Sims-Henderson","45597.48"
"Gill-Holmes","45595.78"
"Clark-Tran","45594.89"
"Bennett and Harvey, Curtis","45592.27"
"Bowman-Smith","45591.11"
"Lee, Brown and Holloway","45588.53"
"Group Weber","45587.75"
"Davis Mills, and Becker","45587.58"
"Hart Taylor and Montes,","45586.52"
"Johnson Chapman, Miller and","45586.06"
"Group Abbott","45585.92"
"Shannon-Hernandez","45585.87"
"Bruce-Dixon","45584.30"
"Lester-Johnson","45582.06"
"and Bell Murphy, Harrell","45581.74"
"Schroeder, and Anthony Lee","45579.87"
"Alvarez Inc","45577.57"
"and James, Nelson King","45576.96"
"Clark-Patrick","45575.16"
"and Atkins Sons","45574.81"
"Kelly Green, Anderson and","45574.66"
"Miller Adams, Stokes and","45573.92"
"Martin-Booker","45573.66"
"Mcknight Group","45571.06"
"Dean-Blair","45570.96"
"Jackson-Little","45569.20"
"West-Salazar","45568.06"
"Howard-Hernandez","45567.23"
"Duke-Livingston","45565.58"
"Bond-Stewart","45562.00"
"Nelson, Thomas Perez and","45560.30"
"Stark-Carson","45560.08"
"Paul, Dickerson and Ramos","45557.79"
"Woodward LLC","45556.21"
"Burnett-Blake","45555.30"
"Cervantes and May Gilmore,","45554.96"
"Shannon-Myers","45551.79"
"Macdonald-White","45549.69"
"Bond Group","45549.39"
"Irwin, Cain and Scott","45547.82"
"Cuevas Alvarez Hernandez, and","45547.43"
"Garza Ltd","45546.67"
"Sons and Hooper","45545.82"
"and Soto, Stone Phillips","45545.57"
"Bradley-Gonzalez","45545.14"
"Cole-Davila","45540.10"
"and Steele, Herrera Mendoza","45539.12"
"Thomas-Love","45536.77"
"Smith Davis, and Hernandez","45535.74"
"Douglas-Hicks","45535.24"
"Walker-Green","45532.77"
"PLC Foster","45531.68"
"Aguirre Group","45531.44"
"Avila-Coleman","45527.27"
"Brown Armstrong, and Dixon","45527.10"
"Ltd Wagner","45525.76"
"Alexander-Duncan","45523.87"
"Green-Walters","45522.17"
"Bell-Hamilton","45521.88"
"Vargas, and Evans Case","45521.25"
"Bennett-Rojas","45519.42"
"and Donovan Caldwell Cunningham,","45516.93"
"Brown-Maynard","45516.87"
"Smith, Rose Chang and","45516.11"
"Anderson-Smith","45515.10"
"Blackburn PLC","45513.63"
"Whitehead Small and Obrien,","45513.60"
"Shaw-Anderson","45511.84"
"Bowen-Rios","45511.18"
"and Owens, Hansen Allen","45509.63"
"Cisneros and Smith, Johnson","45506.50"
"Stevens-Bates","45506.19"
"PLC Merritt","45503.08"
"Gonzalez Wolf Wall, and","45499.68"
"Gray Reyes, and Duran","45499.35"
"Walker Sons and","45497.95"
"Myers Smith, Moore and","45497.88"
"Wagner-Robertson","45496.43"
"Frye Gray, Rogers and","45495.75"
"King-Walker","45495.00"
"Cook-Olsen","45494.37"
"and Nguyen Boyer Davis,","45494.07"
"Zhang, Wilson Beck and","45493.40"
"Zamora Shields, Decker and","45490.67"
"Phillips-Stevenson","45489.17"
"Owens-West","45489.04"
"Dominguez-Taylor","45487.73"
"and Sons Andrade","45487.31"
"Kirk, and Jackson Taylor","45487.08"
"Martin, Brown Green and","45486.66"
"LLC Shah","45483.11"
"Macias Ltd","45481.98"
"Baker-Joyce","45481.14"
"Lee Chambers, and Foley","45476.56"
"Ashley, Barnes Castillo and","45475.35"
"and King Sons","45473.83"
"Young-Humphrey","45466.56"
"Singleton Smith Ramirez, and","45465.97"
"Diaz-Sanders","45464.87"
"Moss and Lewis Gray,","45462.62"
"Schmidt-Hood","45461.63"
"Smith and Mckenzie Hernandez,","45460.97"
"Bradshaw Campbell, and Conner","45460.80"
"Ltd Harvey","45459.59"
"Hansen Miller and Robertson,","45457.55"
"Rodriguez-Thornton","45456.69"
"Sons Mcdonald and","45454.78"
"and Wright, Jenkins Norton","45452.42"
"White-Jensen","45452.30"
"and Rodriguez Alvarez Gonzalez,","45451.96"
"Webb Gardner and Wade,","45450.66"
"Garcia-Campbell","45447.85"
"Wilson, Watson and Freeman","45447.18"
"Jimenez-Richardson","45443.37"
"Fleming-Clark","45442.22"
"Obrien and Snyder, Rodriguez","45441.79"
"Shaw Tapia and Barnes,","45440.79"
"Carter-Camacho","45438.91"
"Welch-Heath","45438.70"
"LLC Walters","45435.67"
"Case Flores Cannon, and","45434.74"
"Navarro Waters, and Humphrey","45432.78"
"Taylor Torres Valenzuela, and","45432.62"
"Ayala Clark, Buchanan and","45432.09"
"James-Booker","45431.62"
"Hernandez-Gutierrez","45430.77"
"and Jenkins Foster Bowers,","45425.87"
"Arias-Cooper","45424.16"
"Espinoza, Wyatt and Oneill","45423.45"
"Jackson Brown Hess, and","45423.13"
"Sanchez and Benson, Hernandez","45422.95"
"Anderson-Grant","45422.62"
"Wilson, Smith and Marshall","45421.21"
"Kim Murphy and Clark,","45420.15"
"Russell-Hart","45420.14"
"Pope Coffey Ramirez, and","45419.86"
"Oliver-Wiggins","45417.31"
"Morales-Daugherty","45416.54"
"Ltd Larson","45416.08"
"Munoz Wilson and Little,","45413.48"
"Zhang-Watson","45413.45"
"and Mann Beltran, Perkins","45412.67"
"Rubio LLC","45412.66"
"Taylor, Williams and Zavala","45408.02"
"Callahan-Davis","45407.37"
"Potter-Carlson","45406.10"
"Jackson, Smith and Green","45404.57"
"Williams-Carlson","45403.66"
"Gaines-Dixon","45403.55"
"Scott and Moore, Ashley","45403.36"
"Taylor-Williams","45402.79"
"Mckinney-Adkins","45402.70"
"Peterson-Marsh","45401.04"
"Lopez and Brown Barber,","45398.64"
"Morris Johnson Taylor, and","45397.82"
"and Young, Carpenter Henry","45396.09"
"Rojas-Taylor","45395.98"
"and Hall Sons","45391.50"
"Moody-Solis","45386.68"
"and Woods Moss Petersen,","45385.40"
"Lynch Velasquez, Long and","45385.12"
"Davis Anderson and Obrien,","45381.03"
"Simmons and Webster, Mathis","45379.63"
"and Hayes Williams Walker,","45377.70"
"and Wallace David, White","45376.48"
"and Lewis Sons","45376.31"
"Little and Sons","45376.26"
"Ross-Lopez","45372.66"
"LLC Watkins","45372.50"
"Jones-Daugherty","45371.50"
"Coleman PLC","45371.23"
"Inc Pacheco","45364.66"
"Jones Saunders, and Carroll","45364.55"
"Griffin Soto and Wilkins,","45364.00"
"Hammond-Castillo","45363.56"
"Ruiz Richmond, Martinez and","45362.07"
"Mcdaniel Anderson, Herrera and","45361.25"
"Group Cox","45355.07"
"Osborn-Freeman","45354.36"
"Robertson-Ward","45345.76"
"and Walton Sons","45345.62"
"Wise LLC","45344.76"
"Dillon-White","45344.21"
"Madden-Pope","45342.05"
"Moore-Vasquez","45342.00"
"Short-Castro","45341.67"
"LLC Valencia","45341.22"
"and Wheeler, Gates White","45336.52"
"Grant Walker, Holland and","45335.49"
"Santiago-White","45332.13"
"Clark Shelton and Welch,","45329.24"
"York Turner, Harrison and","45329.19"
"Nolan and Ellis White,","45329.06"
"Olson and Blake, Martin","45328.70"
"and Hall, Roberts Cole","45324.81"
"Berry-Barker","45324.76"
"Giles and Sons","45323.91"
"Hayes-Morgan","45323.24"
"LLC Li","45321.72"
"and Johnson Morales, Smith","45321.37"
"Bell Johnson Gordon, and","45321.30"
"Luna and Young Campbell,","45321.23"
"Bell-Chavez","45317.35"
"Sparks Inc","45316.82"
"Burke-Meza","45316.47"
"Walker-Liu","45316.36"
"Hernandez Short Cooper, and","45316.11"
"Williams-Hart","45313.63"
"and White Anderson Rodriguez,","45313.25"
"Lewis, and Marshall Holt","45312.58"
"Nixon Sons and","45310.63"
"Warner Franklin, and Bonilla","45308.54"
"Sons and Cannon","45307.63"
"Davis, Bond and Russell","45307.28"
"Bauer-Hawkins","45306.59"
"Guzman, and Wall Wall","45306.32"
"Sullivan-Crosby","45304.39"
"and Bender, Christian Le","45300.59"
"Lang-Hill","45300.45"
"Robinson, and Porter Lopez","45300.04"
"Howard-Meyer","45299.98"
"Bernard-Robles","45296.65"
"Mason-Swanson","45295.16"
"and Sons Schmidt","45294.66"
"Hernandez-Lloyd","45292.76"
"Adams and White, Smith","45292.62"
"Russo-Russell","45289.83"
"Calhoun-Clay","45285.77"
"and Pennington, Bender Morrison","45285.67"
"Flowers, Johnson Hunter and","45283.51"
"and Lopez Moore Evans,","45282.94"
"Barton Sons and","45279.98"
"Davies-Robinson","45279.66"
"Perry Murray, Beck and","45278.82"
"Martin-Cabrera","45278.64"
"Werner Ltd","45277.93"
"Boyer, Rice and Torres","45276.77"
"Lynch Sons and","45276.41"
"Vincent-Hill","45274.40"
"West and Cobb Bradley,","45273.38"
"Taylor and Medina, Thornton","45270.51"
"Cooper Schultz, Simpson and","45269.57"
"Chavez Kennedy, and Hensley","45269.41"
"Sims Rios, Brown and","45268.87"
"Crane and Murphy Chapman,","45268.69"
"Cruz, Taylor Montoya and","45268.50"
"Carlson-Christensen","45263.37"
"Miller-Lopez","45262.86"
"Marks-Miller","45262.29"
"Baldwin-Carroll","45260.41"
"Herrera-Dudley","45260.06"
"Nolan-Kelley","45259.85"
"PLC James","45258.23"
"Vasquez-Wise","45257.99"
"Davis-Grant","45253.13"
"and Snyder Ortiz Erickson,","45252.11"
"Warren, Lee and Duarte","45252.08"
"Herrera-Young","45251.37"
"Houston Ltd","45251.12"
"and Newton Campbell Sullivan,","45247.00"
"Mcguire-Ruiz","45243.43"
"Lyons LLC","45242.86"
"Delgado Jones and Gould,","45242.71"
"Daniels-Lowe","45242.39"
"Scott, Delgado Green and","45240.34"
"Taylor, Cook and Hicks","45239.85"
"Inc Escobar","45239.78"
"Barton Campbell Smith, and","45239.68"
"Ray and Stephens Obrien,","45239.18"
"Bauer-Santos","45238.61"
"Buckley Group","45238.16"
"Garcia Mosley, and Baker","45237.94"
"Ltd Rios","45237.55"
"Booker-Valenzuela","45237.15"
"and Hudson, Kim Morris","45233.76"
"Gregory Evans and Bush,","45232.12"
"and Malone Holt Lopez,","45231.93"
"White-Jacobs","45228.17"
"Greene PLC","45228.08"
"Wilson-Ross","45227.75"
"Allen, and Rodriguez Randolph","45226.36"
"Cabrera-Park","45224.57"
"Shea-Payne","45223.89"
"Levine, and Becker Parker","45223.35"
"Copeland-Hall","45223.16"
"Anderson, and Young Wright","45221.07"
"Jarvis-Craig","45218.74"
"and Russo, Duncan Morris","45216.36"
"Sons and Medina","45215.18"
"Moore, and Robinson Vang","45213.14"
"Morrison Miller and Jones,","45213.14"
"Logan Dixon, and Grant","45212.95"
"Cabrera and Graves Rose,","45210.67"
"Morton Hampton, Lindsey and","45209.24"
"Pineda-Johnson","45208.59"
"Mendez, and Smith Munoz","45208.34"
"Wallace Inc","45204.55"
"Ward-Guzman","45202.69"
"Wells-Wolf","45201.52"
"Pearson-Carr","45200.43"
"and Chavez, Martinez Romero","45200.28"
"Rice, Cooper Rivera and","45199.27"
"Garza-Williams","45198.89"
"Perry-Hammond","45195.33"
"Cooper-Jackson","45192.52"
"Harmon-Hughes","45191.48"
"Ball and Martinez, Rowe","45189.97"
"Hopkins Ltd","45186.98"
"Yoder and Peterson, Williams","45186.19"
"Simmons-Gomez","45185.05"
"and Cruz Holt, Smith","45183.71"
"Fitzgerald-Robinson","45180.82"
"Fields and Robinson Lee,","45180.27"
"Lamb-Hansen","45177.88"
"Gonzalez and Pearson, Robertson","45176.74"
"and May Douglas, Perry","45174.27"
"Ltd Lucero","45173.28"
"and Ray, Phillips Macias","45173.03"
"Shepherd Benjamin, and Kennedy","45172.79"
"Marquez-Davis","45172.58"
"Hodge-Mitchell","45169.44"
"White-Fox","45167.50"
"Oliver-Cox","45166.68"
"Moon and Gutierrez, Welch","45166.55"
"Ellis LLC","45165.78"
"and Stout Armstrong, Jones","45165.09"
"and Keller, Garcia Rios","45162.76"
"Smith, Scott and Johnson","45161.20"
"Jones-Fowler","45160.38"
"Richard Inc","45160.14"
"Vega, Salazar Rojas and","45159.76"
"and Lyons, Perry Davis","45159.63"
"Weaver-Crawford","45158.09"
"Smith-Case","45157.50"
"and Conrad Boyd, Burnett","45157.47"
"Lloyd Wright and Jackson,","45156.46"
"Castaneda-Tucker","45156.19"
"Thompson-Burns","45151.87"
"Lindsey, and Russell Choi","45150.53"
"and Watts Gardner Smith,","45150.08"
"Walton Ltd","45149.92"
"Miranda-Townsend","45149.06"
"and Vang Sons","45148.55"
"Rocha-Contreras","45147.51"
"Brown and Cook, Vincent","45144.58"
"Maldonado-Griffin","45144.47"
"Bell-Jimenez","45142.99"
"Cruz-Ward","45138.13"
"and Adams Brown, Love","45136.98"
"Brooks, Perry and Lawrence","45136.52"
"Banks Johnson and Dennis,","45135.46"
"Ayala-Townsend","45133.72"
"Mitchell-Armstrong","45133.64"
"Inc Meyers","45132.96"
"Waters-Thompson","45131.47"
"Wright-Marshall","45131.18"
"Moyer and Thompson Gonzales,","45129.95"
"Smith and Hayes, Price","45129.29"
"and Sons Jenkins","45127.79"
"Gordon-Hammond","45124.55"
"Phillips Lee Johnson, and","45123.80"
"Baker-Rice","45121.51"
"Huynh-Bryant","45119.41"
"Perkins-Richard","45117.88"
"Stevens Wood Scott, and","45116.21"
"Group Guzman","45114.93"
"Duncan-Webb","45114.84"
"Espinoza-Torres","45114.25"
"and Hunt, Jones Rodriguez","45111.16"
"Evans and Jackson Simmons,","45111.03"
"Luna-Anderson","45110.66"
"Wallace and Owens, Warner","45109.39"
"Herrera-Freeman","45108.93"
"Villegas Smith, Mitchell and","45106.82"
"and Alexander Mullins, Hampton","45106.49"
"Bowman-Owens","45106.02"
"and Roberts Sons","45104.25"
"and Sims Martin Grant,","45102.20"
"Lopez Vasquez and Henson,","45099.02"
"PLC Mccoy","45098.96"
"Ramos and Watkins, Brown","45098.55"
"Jackson Barber, and Ramos","45097.94"
"Ramirez-Jones","45096.34"
"Durham Roberts, and Hanson","45095.64"
"Mccoy and Newman, Flores","45095.45"
"Ltd Ross","45095.18"
"Sanchez Miller Tucker, and","45094.86"
"Mckenzie-Jenkins","45093.22"
"Hayes-Wade","45092.17"
"Brown-Holmes","45091.59"
"Crawford-Rosales","45088.39"
"Ayala LLC","45088.08"
"Allen Gonzales and Hill,","45086.93"
"Chapman Lewis and Dorsey,","45086.19"
"Watts Ltd","45085.31"
"Inc Sutton","45084.93"
"and Brown, Clark Hernandez","45084.13"
"Johnson-Garza","45081.14"
"Nguyen Baker Walker, and","45077.90"
"Jones-Avila","45076.35"
"Leon-Holland","45074.45"
"Montgomery Spears, and Blackburn","45073.88"
"Boyle-Humphrey","45072.75"
"Wallace-Powers","45072.61"
"Rodriguez-Franco","45072.42"
"Armstrong and Fox, Perez","45072.12"
"Evans-Douglas","45070.05"
"Benson Wilson and Stewart,","45063.29"
"Cruz-Rasmussen","45061.21"
"Inc Juarez","45058.93"
"Burns-Sharp","45058.43"
"and Smith Thomas, Lee","45056.98"
"Moreno Rivas and Oliver,","45056.82"
"Kelley Case and Ballard,","45056.68"
"Matthews and James Contreras,","45056.06"
"Wallace-Smith","45054.07"
"Phelps Ltd","45053.73"
"Berry and Fischer, Wells","45053.27"
"and Williams, Anthony Diaz","45048.77"
"Rogers-Parrish","45045.74"
"Ferrell-Ellis","45043.72"
"Garcia-Mack","45040.00"
"and Sons Hines","45037.04"
"Vaughn Group","45034.58"
"Moyer Inc","45034.12"
"and Williams, Morgan Willis","45033.40"
"Johnson Simpson Thomas, and","45033.22"
"Novak Group","45032.32"
"Kelly-Santiago","45030.63"
"Dunn-Bell","45028.18"
"White and Aguirre Nguyen,","45027.68"
"Inc Neal","45027.46"
"and Johnson Bryant, King","45026.62"
"Nelson and Hooper Michael,","45025.92"
"Garrett Randall, Brown and","45024.14"
"Garcia-Martin","45023.12"
"Drake Wallace, Aguirre and","45021.80"
"Hart-Stone","45021.08"
"Daniels-Owens","45020.22"
"Mathews-Lawrence","45019.03"
"Floyd Inc","45017.63"
"and Gibson Grant Lee,","45016.41"
"Schmidt, Lewis Miller and","45015.53"
"Garrett PLC","45014.98"
"Caldwell Jones and Craig,","45012.65"
"and Jimenez Ward, Carpenter","45012.46"
"King-Santiago","45010.83"
"Ortiz, and Rios Price","45010.80"
"Richards, Watts Hudson and","45009.51"
"Tran, Payne and Romero","45009.09"
"Rios-Santiago","45007.42"
"Conway-Fuller","45006.58"
"Garrett-Cox","45006.46"
"Cunningham-Stephens","45005.55"
"Meyer-Sanders","45004.66"
"Roberts-Miller","45004.29"
"and Fletcher Barber, Kelly","45001.85"
"Jackson-Guerrero","45000.94"
"Hooper-Freeman","44996.25"
"Black, Zuniga and Reed","44994.73"
"White and Nelson Green,","44993.68"
"and Hill Page Williams,","44993.41"
"Lewis-Allen","44987.72"
"Brown Kelly, Higgins and","44986.94"
"Ford-Wilson","44984.60"
"Evans Sons and","44984.48"
"Rivers, Nelson Miller and","44983.46"
"Drake Inc","44983.30"
"Fuller Ltd","44983.26"
"Clark-Howard","44983.10"
"White West Herman, and","44982.85"
"Morales-Martinez","44982.79"
"and Tate, White Long","44982.48"
"Richardson Davis Fuller, and","44981.41"
"Lam Long, Poole and","44981.10"
"Finley Ltd","44981.00"
"Valdez-Jones","44977.52"
"Lee-Clarke","44976.84"
"Morrison and Vasquez Thompson,","44976.67"
"LLC Carroll","44972.82"
"Torres-Thomas","44972.16"
"Olson-Mitchell","44971.48"
"Moore-Erickson","44970.10"
"Andersen-Walker","44969.14"
"Hale-Franklin","44968.17"
"Anderson and Fernandez Burns,","44966.09"
"Matthews-Padilla","44963.93"
"and Bailey Douglas Davis,","44963.21"
"and Anderson Kennedy, Owens","44961.46"
"and Freeman Mendez Owen,","44960.28"
"and Frazier, Lang Johnson","44959.63"
"Riley-Hamilton","44959.11"
"Horton-Lee","44957.51"
"Sandoval and Phillips, Yoder","44956.54"
"White-Howard","44955.50"
"Washington-Buckley","44952.54"
"Hill-Adams","44951.66"
"and Moore Williams Moore,","44950.30"
"Alvarado-Bradley","44947.06"
"Valentine-Dickerson","44946.91"
"Smith-Paul","44945.88"
"and White Harper, Barnes","44945.06"
"Hansen Diaz Cox, and","44943.23"
"Smith-Escobar","44943.00"
"and Mccormick, Lucas Lowery","44942.19"
"Lawson-Caldwell","44942.12"
"Ortega and House Jimenez,","44941.65"
"Kelly-Allen","44939.57"
"Barber-Miller","44939.06"
"May Sons and","44938.91"
"Aguilar-Lowery","44938.46"
"Lynn-Garcia","44937.49"
"Hill-Griffin","44935.67"
"Griffin-Martin","44935.40"
"Castaneda Terrell, and Rodriguez","44934.96"
"Gallegos-Scott","44934.89"
"Porter and Brown Hill,","44934.54"
"Owen-Powell","44933.19"
"Brown, Jackson and Harper","44932.46"
"Lopez, and Howard Morrison","44931.13"
"Richardson and Parker Mcguire,","44930.93"
